time_of_publish,server_received_timestamp,sessionId,deviceId,messageId,accel_time,accel_accuracy,accel_x,accel_y,accel_z,gyro_time,gyro_accuracy,gyro_x,gyro_y,gyro_z,mag_time,mag_accuracy,mag_x,mag_y,mag_z
1763634230.2706285,1763634230.212643,2b76a9d2-dc85-4401-8357-a449d56ac504,779672ea-757e-45d7-9e9b-771dc4343b23,5651,1763634230149737700,3,0.6508477330207825,-0.007178467698395252,10.152746200561523,1763634230161719600,3,-0.013439024798572063,0.06841685622930527,0.1130099818110466,1763634230155250000,3,-115.3687515258789,44.70000076293945,-136.8937530517578
1763634231.1700163,1763634231.1426766,2b76a9d2-dc85-4401-8357-a449d56ac504,779672ea-757e-45d7-9e9b-771dc4343b23,5652,1763634231151631400,3,-0.07657032459974289,1.062413215637207,9.734002113342285,1763634231163613200,3,0.01649334840476513,-0.07819069176912308,-0.027488915249705315,1763634231155250000,1,-4.575000286102295,22.668750762939453,-25.537500381469727
1763634232.270238,1763634232.2583869,2b76a9d2-dc85-4401-8357-a449d56ac504,779672ea-757e-45d7-9e9b-771dc4343b23,5653,1763634232162015200,3,-0.07178468257188797,1.155733346939087,9.760323524475098,1763634232165506600,3,0.006719512399286032,-0.003665188793092966,0.001221729558892548,1763634232165249800,3,-115.68750762939453,41.88750076293945,-136.08750915527344
1763634233.2705472,1763634233.1747718,2b76a9d2-dc85-4401-8357-a449d56ac504,779672ea-757e-45d7-9e9b-771dc4343b23,5654,1763634233163908000,3,-0.05024927482008934,1.1389836072921753,9.77707290649414,1763634233167399400,3,0.006108647678047419,-0.001832594396546483,-0.001832594396546483,1763634233165249800,1,-5.568750381469727,22.631250381469727,-24.95625114440918
1763634234.4701188,1763634234.4439461,2b76a9d2-dc85-4401-8357-a449d56ac504,779672ea-757e-45d7-9e9b-771dc4343b23,5655,1763634234174291500,3,-0.04307080805301666,1.1318050622940063,9.7938232421875,1763634234169292000,3,0.001221729558892548,0.003665188793092966,0,1763634234165249800,3,-115.1812515258789,42.82500076293945,-136.91250610351562
1763634235.1699696,1763634235.1561897,2b76a9d2-dc85-4401-8357-a449d56ac504,779672ea-757e-45d7-9e9b-771dc4343b23,5656,1763634235176183600,3,-0.02392822690308094,1.129412293434143,9.791430473327637,1763634235171184000,3,0.003665188793092966,0.0030543238390237093,0.001221729558892548,1763634235175250000,3,-115.06875610351562,43.125,-137.1750030517578
1763634236.469893,1763634236.4439929,2b76a9d2-dc85-4401-8357-a449d56ac504,779672ea-757e-45d7-9e9b-771dc4343b23,5657,1763634236169584600,3,-0.02632104977965355,1.1389836072921753,9.772287368774414,1763634236173076000,3,0.008552107028663158,0.0030543238390237093,0.0030543238390237093,1763634236175250000,3,-115.03125762939453,42.73125076293945,-136.59375
1763634237.1699755,1763634237.165593,2b76a9d2-dc85-4401-8357-a449d56ac504,779672ea-757e-45d7-9e9b-771dc4343b23,5658,1763634237171476200,3,-0.02392822690308094,1.129412293434143,9.767501831054688,1763634237183458000,3,-0.0032070400193333626,-0.010842849500477314,0.0009162971982732415,1763634237175250000,1,-5.775000095367432,22.51875114440918,-24.506250381469727
1763634238.1702085,1763634238.1572866,2b76a9d2-dc85-4401-8357-a449d56ac504,779672ea-757e-45d7-9e9b-771dc4343b23,5659,1763634238173367600,3,-0.03349951654672623,1.1509476900100708,9.772287368774414,1763634238185349400,3,-0.0013744457392022014,0.005039634648710489,-0.000305432389723137,1763634238185249800,3,-114.95625305175781,42.30000305175781,-136.5
1763634239.1697493,1763634239.167199,2b76a9d2-dc85-4401-8357-a449d56ac504,779672ea-757e-45d7-9e9b-771dc4343b23,5660,1763634239187407600,3,-0.0001928415149450302,-0.0032765865325927734,0.015399932861328125,1763634239178750000,3,0.004886918235570192,0.004276053514331579,0.0030543238390237093,1763634239185249800,3,-115.42500305175781,42.35625076293945,-137.2687530517578
